cell,port_name,port_direction,description
example,description,description,"slicer block, outputs 1 when p>n. 
no offsets, internal common fix."
example,vcc1p5,input,vcc1p5@ipn5ldoshr_ldo_ampfc
example,i_adc_logic_spare<3:0>,input,spare. ignore
example,in_p<3:0>,input,data p
example,in_n<3:0>,input,hi this is my example for writing some lines but i dont have idea what to write
ipn5brk2adctop_adc_top,description,description,this is the top block of the ADC
ipn5brk2adctop_adc_top,vcc1p5,input,
ipn5brk2adctop_adc_top,i_adc_logic_spare<3:0>,input,
ipn5brk2adctop_adc_top,in_p<3:0>,input,
ipn5brk2adctop_adc_top,in_n<3:0>,input,
ipn5brk2adctop_adc_top,idig_adc_rstb,input,
ipn5brk2adctop_adc_top,i_ldo_dco_vref_stg1,input,
ipn5brk2adctop_adc_top,vcc0p9,input,
ipn5brk2adctop_adc_top,o_adc_strb,output,
ipn5brk2adctop_adc_top,idig_adc_strb,input,
ipn5brk2adctop_adc_top,o_adc_add<8:0>,output,
ipn5brk2adctop_adc_top,o_adc_adcfe_dcmon_n,output,
ipn5brk2adctop_adc_top,o_adc_adcfe_dcmon_p,output,
ipn5brk2adctop_adc_top,idig_adc_address<8:0>,input,
ipn5brk2adctop_adc_top,i_lb_100u_ffe_gm_from_p,input,
ipn5brk2adctop_adc_top,i_ldo_ibias_50u_from_n<1:0>,input,
ipn5brk2adctop_adc_top,i_ldo_0p65v_vref,input,
ipn5brk2adctop_adc_top,i_lb_100u_summer_from_n,input,
ipn5brk2adctop_adc_top,i_allpwrgood_0p9,input,
ipn5brk2adctop_adc_top,o_pd_cml_fb_n,output,
ipn5brk2adctop_adc_top,o_pd_cml_fb_p,output,
ipn5brk2adctop_adc_top,i_lb_100u_prebuff_from_n<3:0>,input,
ipn5brk2adctop_adc_top,vssx,input,
ipn5brk2adctop_adc_top,i_lb_250u_prebuff_from_n<3:0>,input,
ipn5brk2adctop_adc_top,i_vref_ffe_out_cm,input,
ipn5brk2adctop_adc_top,i_prebuff_cm_in_vref,input,
ipn5brk2adctop_adc_top,vcc0p65_lv,input,vcc
ipn5brk2adctop_adc_top,o_rx_div40_clk,output,
ipn5brk2adctop_adc_top,o_rx_div33or34_clk,output,
ipn5brk2adctop_adc_top,o_global_align_clk_to_lgc_hw,output,
ipn5brk2adctop_adc_top,o_q0_qvt0_align_sar0_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt0_align_sar1_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt0_align_sar2_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt0_align_sar3_data<5:0>,output,
ipn5brk2adctop_adc_top,o_q0_qvt1_align_sar0_data<5:0>,output,
